Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
N_1	20841941.0	299.0	19447707.0	93.31	297.95	2871805.0	2437999.0	2831785.0	13768.0	286.0	25966.0	0.51	0.02	2.65	0.02	2.33	898574.0	4.31	1739.0	0.01	0.0	2.35	0.02	0	489753	4168
N_2	18894432.0	298.0	17704240.0	93.7	297.39	3119841.0	2663436.0	3080422.0	14219.0	248.0	24952.0	0.49	0.02	2.7	0.02	2.3	806405.0	4.27	1146.0	0.01	0.0	2.01	0.01	0	380747	1894
N_3	26291149.0	298.0	24628734.0	93.68	296.73	3113794.0	2572632.0	3063714.0	14233.0	317.0	35530.0	0.5	0.02	2.63	0.02	2.34	1089304.0	4.14	2552.0	0.01	0.0	2.14	0.03	0	562671	7888
Ni1	16492877.0	299.0	15044973.0	91.22	297.75	2430332.0	2049365.0	2398730.0	11540.0	227.0	19835.0	0.49	0.02	2.59	0.02	2.28	734286.0	4.45	2755.0	0.02	0.0	4.28	0.03	0	705915	4948
Ni2	20119113.0	297.0	18732545.0	93.11	296.15	3791664.0	3251095.0	3747785.0	16964.0	241.0	26674.0	0.49	0.02	2.77	0.02	2.15	909897.0	4.52	1689.0	0.01	0.0	2.35	0.01	0	472969	2013
Ni3	13534058.0	298.0	12552474.0	92.75	297.22	2253631.0	1953317.0	2226714.0	8703.0	187.0	18027.0	0.5	0.02	2.69	0.02	2.3	664476.0	4.91	1085.0	0.01	0.0	2.32	0.01	0	314667	1356
Ni_N1	22207684.0	298.0	20697134.0	93.2	297.29	3832469.0	3276467.0	3785025.0	18330.0	278.0	28836.0	0.51	0.02	2.7	0.02	2.23	1056229.0	4.76	2273.0	0.01	0.0	2.02	0.02	0	447616	4432
Ni_N2	17832699.0	299.0	16708689.0	93.7	297.97	2951248.0	2522061.0	2918238.0	12256.0	204.0	20550.0	0.49	0.02	2.7	0.02	2.22	808163.0	4.53	1322.0	0.01	0.0	1.75	0.01	0	312738	1787
Ni_N3	27494313.0	299.0	25755238.0	93.67	298.02	4710534.0	4060207.0	4658724.0	19792.0	291.0	31727.0	0.5	0.02	2.72	0.02	2.23	1244805.0	4.53	1582.0	0.01	0.0	1.79	0.01	0	489951	2737
Ni_SM1	16987183.0	299.0	15831624.0	93.2	297.82	1965541.0	1638079.0	1931608.0	6934.0	440.0	26559.0	0.53	0.02	2.77	0.02	2.29	681297.0	4.01	1663.0	0.01	0.0	2.77	0.01	0	470899	1700
Ni_SM2	19504103.0	298.0	18158098.0	93.1	297.07	2338814.0	1940724.0	2297760.0	8431.0	401.0	32222.0	0.53	0.02	2.74	0.02	2.28	795855.0	4.08	1733.0	0.01	0.0	2.8	0.01	0	546465	1952
Ni_SM3	41427674.0	299.0	37996625.0	91.72	297.67	3724357.0	3012823.0	3641430.0	14245.0	942.0	67740.0	0.54	0.03	2.71	0.02	2.26	1640764.0	3.96	3432.0	0.01	0.0	4.29	0.02	0	1778561	8292
